run,seed,accuracy,case
1,940423069,0.9713,C
2,484051381,0.9706,C
3,1782736445,0.9744,C
4,2447219476,0.9782,C
5,1231244517,0.9759,C
6,739814586,0.9753,C
7,3790858091,0.9729,C
8,1726187240,0.9753,C
9,3942810526,0.9712,C
10,1200236049,0.9747,C
11,1919703189,0.9741,C
12,3318543651,0.9704,C
13,1179688327,0.9739,C
14,3231136721,0.9763,C
15,2856074246,0.9753,C
16,3483346843,0.9743,C
17,2120054346,0.9757,C
18,2086573407,0.9751,C
19,1142035206,0.973,C
20,261773359,0.9758,C
21,4084611409,0.9755,C
22,3049164855,0.975,C
23,2009909145,0.9735,C
24,644475390,0.9751,C
25,3171998929,0.974,C
26,1906550658,0.9763,C
27,2874427915,0.9756,C
28,479925446,0.9758,C
29,522644819,0.9755,C
30,1395967086,0.9758,C
